code,E2008,E2009
S02000669,75.12434001,71.26212597
S02000670,65.12511111,63.07537968
S02000671,70.76964739,68.30717607
S02000672,80.86519645,77.5840586
S02000673,60.50395766,57.41469424
S02000674,64.83100941,67.82977809
S02000675,99.77429268,95.38782943
S02000676,76.78598607,76.5418828
S02000677,75.3189192,72.70182828
S02000678,72.1382159,69.92770162
S02000679,82.19653059,78.88502522
S02000680,81.6808241,83.11160493
S02000681,73.96463758,72.71772985
S02000682,60.28782114,58.43745197
S02000683,57.48490875,56.01774062
S02000684,71.20454499,66.91731678
S02000685,86.71792064,83.16002166
S02000686,90.05776767,89.62435989
S02000687,71.68589261,70.35334944
S02000688,114.4950955,111.211566
S02000689,133.4242228,127.9344043
S02000690,117.6249924,112.9244817
S02000691,110.3223394,106.452488
S02000692,127.3808065,124.7603361
S02000693,92.28123618,88.34597441
S02000694,88.75842755,85.68803199
S02000695,105.000127,104.698466
S02000696,68.22781568,68.12350604
S02000697,90.50366223,84.77782642
S02000698,82.55474204,78.28708552
S02000699,91.81569483,86.62649982
S02000700,47.43261426,44.73191153
S02000701,85.54677384,83.05896968
S02000702,82.55215589,78.73965282
S02000703,60.56961881,58.5249237
S02000704,67.8542042,66.3244568
S02000705,133.6546759,128.3423251
S02000706,92.76095542,87.71341815
S02000707,83.21220444,79.29127365
S02000708,77.28138405,72.82942457
S02000709,126.7586977,119.7370146
S02000710,87.17576295,83.44414717
S02000711,65.37268282,62.56769867
S02000712,71.17411983,69.5331723
S02000713,70.79313495,70.29684641
S02000714,67.41761662,65.12359698
S02000715,58.96873672,56.81138984
S02000716,55.93700858,54.5177841
S02000771,62.03114478,59.05642374
S02000772,85.76920052,81.21018665
S02000773,99.57801474,100.0741014
S02000774,103.8974121,99.40903403
S02000775,110.4051462,105.5209185
S02000776,116.8698985,111.8998412
S02000777,99.97459748,96.92883534
S02000778,108.583165,106.1179768
S02000779,103.4971402,98.47833625
S02000780,93.24622437,90.08478307
S02000781,136.6135636,132.7819864
S02000782,95.08442478,92.64929351
S02000783,99.54216081,96.8655428
S02000784,134.2817627,127.6104741
S02000785,98.87672716,96.54439911
S02000786,106.0944445,102.0743444
S02000787,155.4783852,148.202678
S02000923,119.4482144,115.2765512
S02000925,88.94585431,86.87791733
S02000926,70.92218101,68.08293273
S02000927,64.02811671,63.87487266
S02000983,61.31892388,60.45868629
S02000984,75.2727842,75.6166307
S02000985,99.14536158,95.63567598
S02000986,70.37520072,68.00577231
S02000987,113.9621347,110.2035751
S02000988,107.3602546,104.2026047
S02000989,72.29356784,70.55064106
S02000990,107.3928351,103.913009
S02000991,143.7996603,136.6811722
S02000992,95.31728357,91.68005361
S02000993,74.50338173,74.70787735
S02000994,73.97168004,71.68480484
S02000995,111.2731462,109.5104002
S02000996,75.72616421,73.92541304
S02000997,76.40104187,73.71451834
S02000998,74.08374621,72.90600058
S02000999,117.2450191,114.0476396
S02001000,137.2813366,132.0436521
S02001001,72.65231461,68.32117881
S02001002,120.9060331,116.7786179
S02001003,65.38271011,66.06946758
S02001004,132.8334492,123.8772952
S02001005,95.49906504,91.07043276
S02001006,89.15464513,87.68958446
S02001007,124.9038987,120.5264166
S02001008,103.3600431,100.5156223
S02001009,62.55124827,61.80789856
S02001010,80.11362598,76.86866896
S02001011,125.1474937,120.4055278
S02001012,62.56237986,60.78509281
S02001013,121.3041909,117.0539777
S02001014,116.0188674,115.0995655
S02001015,103.8034008,101.5250267
S02001016,66.48368198,68.7871322
S02001017,113.5437605,109.6068836
S02001018,110.9341736,108.0376249
S02001019,121.3473434,118.5563207
S02001020,100.8612859,96.83222245
S02001146,74.93657707,73.7024324
S02001148,69.75294982,67.73935712
S02001149,97.23132668,95.67861413
S02001150,113.6944284,107.5102252
S02001152,70.20957882,67.10205899
S02001153,85.73828357,84.73083576
S02001154,81.58628262,79.04239723
S02001156,103.1995697,102.9108646
S02001157,77.77032175,79.53801062
S02001158,73.42365309,70.34297114
S02001159,130.5020009,126.983376
S02001160,81.58333133,78.19910575
S02001161,87.26251416,84.86558375
S02001162,74.76428201,73.59525717
S02001184,92.04597537,89.82566509
S02001185,103.9037449,102.2293851
S02001186,126.7912644,121.461927
S02001187,117.3059994,111.3731852
S02001188,131.7587092,125.2820229
S02001189,84.1458807,80.59821802
S02001190,109.0351415,106.6238489
S02001191,105.5757307,102.8617971
S02001192,140.5581903,135.2011516
S02001193,99.50437062,96.31729401
S02001194,94.17379478,90.19361931
S02001195,122.1453282,118.9150485
S02001196,101.876924,99.36372255
S02001197,94.40302721,95.77495498
S02001198,107.1386868,103.0383228
S02001199,90.16811935,88.61807403
S02001200,119.5248017,115.1617102
S02001201,115.2993169,112.5031394
